INSEE_CO P12_POP POSTAL_C LIB ATIH_COM ATIH_POP POSTAL_P POP_V OK Nom_de_la_commune POSTAL_COM LibellÈ_d_acheminement Territoire LibTerr
92035 28371 92250 "LA GARENNE-COLOMBES" 92250 28371 28371 28371 1 "LA GARENNE COLOMBES" 92250 "LA GARENNE COLOMBES" T4 "T4 La Défense"
92032 22866 92260 FONTENAY-AUX-ROSES 92260 22866 22866 22866 1 "FONTENAY AUX ROSES" 92260 "FONTENAY AUX ROSES" T2 "T2 Sud Hauts-de-Seine"
92009 28709 92270 BOIS-COLOMBES 92270 28709 28709 28709 1 "BOIS COLOMBES" 92270 "BOIS COLOMBES" T5 "T5 Boucle Nord 92"
92019 32198 92290 CHATENAY-MALABRY 92290 32198 32198 32198 1 "CHATENAY MALABRY" 92290 "CHATENAY MALABRY" T2 "T2 Sud Hauts-de-Seine"
92044 64654 92300 LEVALLOIS-PERRET 92300 64654 64654 64654 1 "LEVALLOIS PERRET" 92300 "LEVALLOIS PERRET" T4 "T4 La Défense"
92072 23572 92310 SEVRES 92310 23572 23572 23572 1 SEVRES 92310 SEVRES T3 "T3 GPSO"
92020 34960 92320 CHATILLON 92320 34960 34960 34960 1 CHATILLON 92320 CHATILLON T2 "T2 Sud Hauts-de-Seine"
92071 19986 92330 SCEAUX 92330 19986 19986 19986 1 SCEAUX 92330 SCEAUX T2 "T2 Sud Hauts-de-Seine"
92014 19872 92340 BOURG-LA-REINE 92340 19872 19872 19872 1 "BOURG LA REINE" 92340 "BOURG LA REINE" T2 "T2 Sud Hauts-de-Seine"
92060 28673 92350 "LE PLESSIS-ROBINSON" 92350 28673 28673 28673 1 "LE PLESSIS ROBINSON" 92350 "LE PLESSIS ROBINSON" T2 "T2 Sud Hauts-de-Seine"
92022 19343 92370 CHAVILLE 92370 19343 19343 19343 1 CHAVILLE 92370 CHAVILLE T3 "T3 GPSO"
92033 17818 92380 GARCHES 92380 17818 17818 17818 1 GARCHES 92380 GARCHES T4 "T4 La Défense"
92078 25725 92390 VILLENEUVE-LA-GARENNE 92390 25725 25725 25725 1 "VILLENEUVE LA GARENNE" 92390 "VILLENEUVE LA GARENNE" T5 "T5 Boucle Nord 92"
92026 86854 92400 COURBEVOIE 92400 86854 86854 86854 1 COURBEVOIE 92400 COURBEVOIE T4 "T4 La Défense"
92077 11027 92410 VILLE-D'AVRAY 92410 11027 11027 11027 1 "VILLE D AVRAY" 92410 "VILLE D AVRAY" T3 "T3 GPSO"
92076 8611 92420 VAUCRESSON 92420 8611 8611 8611 1 VAUCRESSON 92420 VAUCRESSON T4 "T4 La Défense"
92047 1634 92430 MARNES-LA-COQUETTE 92430 1634 1634 1634 1 "MARNES LA COQUETTE" 92430 "MARNES LA COQUETTE" T3 "T3 GPSO"
92063 79563 92500 RUEIL-MALMAISON 92500 79563 79563 79563 1 "RUEIL MALMAISON" 92500 "RUEIL MALMAISON" T4 "T4 La Défense"
92004 83845 92600 ASNIERES-SUR-SEINE 92600 83845 83845 83845 1 "ASNIERES SUR SEINE" 92600 "ASNIERES SUR SEINE" T5 "T5 Boucle Nord 92"
92025 85357 92700 COLOMBES 92700 85357 85357 85357 1 COLOMBES 92700 COLOMBES T5 "T5 Boucle Nord 92"
92062 44514 92800 PUTEAUX 92800 44514 44514 44514 1 PUTEAUX 92800 PUTEAUX T4 "T4 La Défense"
93008 48496 93000 BOBIGNY 93000 48496 48496 48496 1 BOBIGNY 93000 BOBIGNY T8 "T8 Est Ensemble"
93048 103520 93100 MONTREUIL 93100 103520 103520 103520 1 MONTREUIL 93100 MONTREUIL T8 "T8 Est Ensemble"
93064 42080 93110 ROSNY-SOUS-BOIS 93110 42080 42080 42080 1 "ROSNY SOUS BOIS" 93110 "ROSNY SOUS BOIS" T9 "T9 Grand-Paris Est"
93027 39859 93120 "LA COURNEUVE" 93120 39859 39859 39859 1 "LA COURNEUVE" 93120 "LA COURNEUVE" T6 "T6 Plaine Commune"
93053 40161 93130 NOISY-LE-SEC 93130 40161 40161 40161 1 "NOISY LE SEC" 93130 "NOISY LE SEC" T8 "T8 Est Ensemble"
93010 52787 93140 BONDY 93140 52787 52787 52787 1 BONDY 93140 BONDY T8 "T8 Est Ensemble"
93007 52213 93150 "LE BLANC-MESNIL" 93150 52213 52213 52213 1 "LE BLANC MESNIL" 93150 "LE BLANC MESNIL" T7 "T7 Territoire des aéroports"
93051 62592 93160 NOISY-LE-GRAND 93160 62592 62592 62592 1 "NOISY LE GRAND" 93160 "NOISY LE GRAND" T9 "T9 Grand-Paris Est"
93006 34920 93170 BAGNOLET 93170 34920 34920 34920 1 BAGNOLET 93170 BAGNOLET T8 "T8 Est Ensemble"
93046 42699 93190 LIVRY-GARGAN 93190 42699 42699 42699 1 "LIVRY GARGAN" 93190 "LIVRY GARGAN" T9 "T9 Grand-Paris Est"
93066 108274 93200 SAINT-DENIS 93200 108274 108274 108274 1 "ST DENIS" 93200 "ST DENIS" T6 "T6 Plaine Commune"
93032 39172 93220 GAGNY 93220 39172 39172 39172 1 GAGNY 93220 GAGNY T9 "T9 Grand-Paris Est"
93063 25411 93230 ROMAINVILLE 93230 25411 25411 25411 1 ROMAINVILLE 93230 ROMAINVILLE T8 "T8 Est Ensemble"
93072 36155 93240 STAINS 93240 36155 36155 36155 1 STAINS 93240 STAINS T6 "T6 Plaine Commune"
93077 28664 93250 VILLEMOMBLE 93250 28664 28664 28664 1 VILLEMOMBLE 93250 VILLEMOMBLE T9 "T9 Grand-Paris Est"
93045 22920 93260 "LES LILAS" 93260 22920 22920 22920 1 "LES LILAS" 93260 "LES LILAS" T8 "T8 Est Ensemble"
93071 49442 93270 SEVRAN 93270 49442 49442 49442 1 SEVRAN 93270 SEVRAN T7 "T7 Territoire des aéroports"
93073 34081 93290 TREMBLAY-EN-FRANCE 93290 34081 34081 34081 1 "TREMBLAY EN FRANCE" 93290 "TREMBLAY EN FRANCE" T7 "T7 Territoire des aéroports"
93001 77032 93300 AUBERVILLIERS 93300 77032 77032 77032 1 AUBERVILLIERS 93300 AUBERVILLIERS T6 "T6 Plaine Commune"
93061 18025 93310 "LE PRE-SAINT-GERVAIS" 93310 18025 18025 18025 1 "LE PRE ST GERVAIS" 93310 "LE PRE ST GERVAIS" T8 "T8 Est Ensemble"
93057 22331 93320 "LES PAVILLONS-SOUS-BOIS" 93320 22331 22331 22331 1 "LES PAVILLONS SOUS BOIS" 93320 "LES PAVILLONS SOUS BOIS" T9 "T9 Grand-Paris Est"
93050 34658 93330 NEUILLY-SUR-MARNE 93330 34658 34658 34658 1 "NEUILLY SUR MARNE" 93330 "NEUILLY SUR MARNE" T9 "T9 Grand-Paris Est"
93062 13993 93340 "LE RAINCY" 93340 13993 13993 13993 1 "LE RAINCY" 93340 "LE RAINCY" T9 "T9 Grand-Paris Est"
93013 15139 93350 "LE BOURGET" 93350 15139 15139 15139 1 "LE BOURGET" 93350 "LE BOURGET" T7 "T7 Territoire des aéroports"
93049 20755 93360 NEUILLY-PLAISANCE 93360 20755 20755 20755 1 "NEUILLY PLAISANCE" 93360 "NEUILLY PLAISANCE" T9 "T9 Grand-Paris Est"
93047 26051 93370 MONTFERMEIL 93370 26051 26051 26051 1 MONTFERMEIL 93370 MONTFERMEIL T9 "T9 Grand-Paris Est"
93059 27925 93380 PIERREFITTE-SUR-SEINE 93380 27925 27925 27925 1 "PIERREFITTE SUR SEINE" 93380 "PIERREFITTE SUR SEINE" T6 "T6 Plaine Commune"
93014 30720 93390 CLICHY-SOUS-BOIS 93390 30720 30720 30720 1 "CLICHY SOUS BOIS" 93390 "CLICHY SOUS BOIS" T9 "T9 Grand-Paris Est"
